localidade	data	visibilidade	faixa_bat	prof_interface_min	prof_interface_max	metodo	observador	tempo_geo	geo_cat	iar_geo	iar_geo_med	iah_seg	n_trans_vis	geo_id
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	1	tf	0	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	2	tf	0	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	3	tf	0	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	4	tf	0	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	5	tf	10	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	6	tf	10	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	7	tf	10	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	8	tf	10	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	9	tf	10	5.556	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	1	mp	8	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	2	mp	10	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	3	mp	10	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	4	mp	8	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	5	mp	8	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	6	mp	6	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	7	mp	4	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	8	mp	8	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	9	mp	10	8.000	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	1	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	2	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	3	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	4	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	5	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	6	gc	8	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	7	gc	2	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	8	gc	2	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	9	gc	0	1.333	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	1	rpm	8	8.889	4.888.822.222	9	1
baia_das_tartarugas	08/12/2022	3.5	raso	Na	8	scuba	Ronan_Caetano/ Thiago_Silveira	2	rpm	10	8.889	4.888.822.222	9	1
