Local_1;Local_2;Local_3;Data;class_1;class_2;class_3;class_4;class_5;total
Entorno;Ilha do Arvoredo;Engenho;16/02/2012;1;7;8;4;3;23
Entorno;Ilha do Arvoredo;Engenho;17/02/2012;0;7;8;3;2;20
Entorno;Ilha do Arvoredo;Engenho;07/03/2012;54;32;12;4;0;102
Entorno;Ilha do Arvoredo;Engenho;21/03/2012;58;2;0;0;0;60
Entorno;Ilha do Arvoredo;Engenho;12/04/2012;19;2;0;0;0;21
Entorno;Ilha do Arvoredo;Engenho;04/10/2012;44;8;0;0;0;52
Entorno;Ilha do Arvoredo;Engenho;19/12/2012;44;3;0;0;0;47
Entorno;Ilha do Arvoredo;Engenho;09/04/2013;127;1;0;0;0;128
Entorno;Ilha do Arvoredo;Baía do Farol;11/04/2013;167;64;47;10;3;291
Entorno;Ilha do Arvoredo;Baía do Farol;27/09/2013;37;1;1;0;0;39
Entorno;Ilha do Arvoredo;Saco do Vidal;12/02/2014;183;42;25;22;0;272
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;12/03/2014;4;28;65;54;38;189
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;28/03/2014;3;27;64;54;37;185
Entorno;Ilha do Arvoredo;Baía do Farol;03/11/2014;104;8;0;0;0;112
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;28/11/2014;202;37;7;2;2;250
Entorno;Ilha do Arvoredo;Saco do Vidal;03/12/2014;114;4;1;0;0;119
Entorno;Ilha do Arvoredo;Engenho;03/12/2014;44;10;6;3;0;63
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;24/02/2015;8;69;49;6;3;135
REBio Arvoredo;Ilha da Galé;Naufrágio do Lili;25/02/2015;0;0;2;0;0;2
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;16/03/2016;380;281;130;19;0;810
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;17/03/2016;9;44;25;4;0;82
Entorno;Ilha do Arvoredo;Saco do Vidal;19/04/2016;513;223;62;2;0;800
Entorno;Ilha do Arvoredo;Engenho;19/04/2016;104;127;79;21;2;333
Entorno;Ilha do Arvoredo;Saco do Vidal;02/12/2016;0;0;0;0;0;0
Entorno;Ilha do Arvoredo;Engenho;02/12/2016;75;10;8;7;0;100
Entorno;Ilha do Arvoredo;Baía do Farol;02/12/2016;96;104;41;0;0;241
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;07/03/2017;80;82;50;6;0;218
Entorno;Ilha do Arvoredo;Engenho;07/03/2017;80;82;50;6;0;218
Entorno;Ilha do Arvoredo;Baía do Farol;30/04/2017;39;8;3;3;0;53
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;11/05/2017;56;99;78;17;1;251
REBio Arvoredo;Ilha do Arvoredo;Rancho Norte;21/07/2017;9;15;6;1;0;31
Entorno;Ilha do Arvoredo;Saco do Vidal;21/07/2017;0;0;0;0;0;0
Entorno;Ilha do Arvoredo;Engenho;21/07/2017;6;8;2;0;0;16
Entorno;Ilha do Arvoredo;Baía do Farol;21/07/2017;0;0;0;0;0;0
