"localidade","dpue_standard","raiw_standard"
"ARANHAS LESTE",0,0
"ARANHAS OESTE",0,0
"BAIA DAS TARTARUGAS",0.25,0.09
"CAMPECHE NORTE",0,0
"CAMPECHE SUL",0,0
"COSTA DO ELEFANTE",0,0
"COSTAO DO SACO DAGUA",1.91,0.63
"DESERTA NORTE",0.19,0.01
"DESERTA SUL",2.79,0.32
"ENGENHO",12.83,4.97
"ENSEADA DO LILI",1.08,0.1
"ESTALEIRO 1",0,0
"ESTALEIRO 2",0,0
"FAROL",2.64,0.56
"ILHA DO CORAL",0,0
"ILHA DOS LOBOS",0,0
"ILHA PORTO BELO",0,0
"IRMA DE FORA",0,0
"IRMA DO MEIO",0,0
"LAGOINHA DO NORTE",0,0
"LETREIRO",0.39,0.01
"MACUCO",0,0
"MACUCO SUL",0,0
"MATA FOME",0,0
"MOLEQUES DO SUL",0,0
"NAUFRAGIO DO LILI",47.29,6.87
"PEDRA DO ELEFANTE",6.86,1.7
"PONTA DAS CANAS",0,0
"PORTINHO NORTE",0,0
"PORTINHO SUL",0,0
"RANCHO NORTE",3.46,0.96
"SACO DA MULATA NORTE",0,0
"SACO DA MULATA SUL",0,0
"SACO DAGUA",0,0
"SACO DO BATISMO",0.48,0.07
"SACO DO CAPIM",0.17,0
"SAQUINHO DAGUA",2.3,0.03
"SEPULTURA",0,0
"TAMBORETES NORTE",0,0
"TAMBORETES SUL",0,0
"TIPITINGA",0,0
"VIDAL",4.96,1.35
"XAVIER",0,0
