id;localidade;comp_m;
27;aranhas_leste;479,368;
25;aranhas_oeste;493,065;
18;baia_das_tartarugas;470,878;
15;costa_do_elefante;667,941;
10;costao_do_saco_dagua;433,933;
25;deserta_norte;529,261;
26;deserta_sul;430,746;
19;engenho;430,834;
1;enseada_do_lili;634,057;
32;estaleiro_1;801,763;
33;estaleiro_2;662,461;
21;farol;561,107;
5;gale_sul;157,151;
30;ilha_do_macuco;955,613;
35;ilha_dos_lobos;850,642;
34;ilha_porto_belo;480,381;
40;lagoinha_do_norte;1022,968;
13;letreiro;471,629;
28;mata_fome;409,243;
8;naufragio_do_lili;46,526;
24;pedra_do_elefante;265,827;
39;ponta_das_canas;663,035;
20;ponta_do_meio;314,530;
3;portinho_norte;422,674;
4;portinho_sul;401,159;
14;rancho_norte;702,405;
7;saco_da_mulata_norte;407,004;
6;saco_da_mulata_sul;554,630;
11;saco_dagua;558,439;
23;saco_das_balas;688,834;
17;saco_do_batismo;413,894;
16;saco_do_capim;539,427;
12;saco_do_letreiro;209,276;
9;saquinho_dagua;289,082;
31;sepultura;478,633;
37;tamboretes_norte;814,655;
29;tamboretes_sul;942,781;
36;tipitinga;503,018;
2;toca_da_salema;222,047;
22;vidal;391,929;
38;xavier;652,198;
