localidade;model_pred;regiao
engenho;387.472;entorno_imediato
rancho_norte;83.357;rebio
vidal;69.678;entorno_imediato
farol;53.899;entorno_imediato
pedra_do_elefante;45.949;rebio
costao_do_saco_dagua;39.538;rebio
deserta_sul;25.514;rebio
enseada_do_lili;19.891;rebio
saco_do_batismo;10.259;entorno_imediato
saquinho_dagua;3.776;rebio
saco_do_capim;1.863;entorno_imediato
deserta_norte;1.841;rebio
letreiro;1.675;rebio
baia_das_tartarugas;7.89;entorno_imediato
portinho_sul;0.258;rebio
saco_dagua;0.15;rebio
tamboretes_sul;0.148;entorno
saco_da_mulata_norte;0.133;rebio
estaleiro_2;0.117;entorno
ilha_dos_lobos;0.081;entorno
costa_do_elefante;0.064;rebio
irma_de_fora;0.054;entorno
ilha_porto_belo;0.05;entorno
portinho_norte;0.045;rebio
mata_fome;0.038;entorno
xavier;0.033;entorno
tipitinga;0.031;entorno
campeche_norte;0.022;entorno
aranhas_oeste;0.018;entorno
estaleiro_1;0.017;entorno
saco_da_mulata_sul;0.017;rebio
ilha_do_coral;0.014;entorno
irma_do_meio;0.011;entorno
tamboretes_norte;0.009;entorno
moleques_do_sul;0.008;enrtorno
sepultura;0.008;entorno
aranhas_leste;0.006;entorno
