id,localidade,loc_mapa,x,y,comp_m,auxiliary_,auxiliar_1,key,dpue_standard,raiw_standard,lon,lat
14,rancho_norte,Rancho Norte,NA,NA,702.405,NA,NA,rancho norte,3.46,0.9600000000000001,-48.37475123892098,-27.27739328036988
12,saco_do_letreiro,Saco do Letreiro,NA,NA,209.276,NA,NA,saco do letreiro,0.39,0.01,-48.36993500496901,-27.270470545504587
11,saco_dagua,Saco dágua,NA,NA,558.439,NA,NA,saco dagua,0,0,-48.367808838333026,-27.273655155748617
9,saquinho_dagua,Saquinho Dágua,NA,-27.2736,289.082,NA,-48.36218994239172,saquinho dagua,2.3,0.03,-48.36100697820478,-27.27379558105013
15,costa_do_elefante,Costa do Elefante,NA,NA,667.941,NA,NA,costa do elefante,0,0,-48.37743882990133,-27.282103167710115
16,saco_do_capim,Saco do Capim,NA,NA,539.427,NA,NA,saco do capim,0.17,0,-48.37434209864583,-27.284110879730957
18,baia_das_tartarugas,Baia das Tartarugas,NA,NA,470.878,NA,NA,baia das tartarugas,0.25,0.09,-48.36889177787275,-27.288449650644736
24,pedra_do_elefante,Pedra do Elefante,NA,NA,265.827,NA,NA,pedra do elefante,6.859999999999999,1.7,-48.37893920673914,-27.278670056585135
48,deserta_norte,Deserta Norte,NA,NA,529.261,NA,NA,deserta norte,0.19,0.01,-48.33070421086308,-27.270357875110737
26,deserta_sul,Deserta Sul,NA,NA,430.746,NA,NA,deserta sul,2.79,0.32,-48.333377699123055,-27.274081194596654
21,farol,Baía do Farol,NA,NA,561.107,NA,NA,baia do farol,NA,NA,-48.36176830478397,-27.2960557853359
22,vidal,Saco do Vidal,NA,NA,391.929,NA,NA,saco do vidal,NA,NA,-48.358563874568425,-27.29795521230242
17,saco_do_batismo,Saco do Batismo,NA,NA,413.894,NA,NA,saco do batismo,0.48,0.06999999999999999,-48.370859467111565,-27.28501612226392
7,saco_da_mulata_norte,Saco da Mulata Norte,NA,NA,407.004,NA,NA,saco da mulata norte,0,0,-48.4050096843639,-27.18245065124579
6,saco_da_mulata_sul,Saco da Mulata Sul,NA,NA,554.63,NA,NA,saco da mulata sul,0,0,-48.40787240436226,-27.185772295260026
19,engenho,Saco do Engenho,NA,NA,430.834,NA,NA,saco do engenho,NA,NA,-48.36736786365903,-27.29237716069784
